rank,name,profile,uid,changesets,map_changes,countries,editors,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
250,uknown-gryphus,https://www.openstreetmap.org/user/uknown-gryphus,2425805,28,2361,India,"JOSM/1.5 (18822 en),JOSM/1.5 (18924 en),Every Door Android 4.1,StreetComplete 55.1",803,1049,101,182,200,21,1,4,0,114,48,43.0,41.0,146.0,154.0,0.0,0.0,34.0,13.0,"{""highway"": 146, ""footway"": 67, ""crossing"": 57, ""crossing:markings"": 54, ""building"": 43, ""surface"": 41, ""access"": 38, ""amenity"": 34, ""barrier"": 30, ""kerb"": 24, ""name"": 20, ""parking"": 14, ""smoothness"": 13, ""natural"": 11, ""check_date"": 10, ""oneway"": 10, ""denotation"": 9, ""man_made"": 9, ""camera:direction"": 8, ""camera:mount"": 8, ""camera:type"": 8, ""surveillance"": 8, ""surveillance:type"": 8, ""leisure"": 7, ""building:levels"": 7, ""material"": 6, ""surveillance:zone"": 6, ""landuse"": 6, ""backrest"": 5, ""traffic_calming"": 5, ""colour"": 4, ""seats"": 4, ""shop"": 4, ""cutting"": 4, ""leaf_cycle"": 3, ""leaf_type"": 3, ""traffic_signals:direction"": 3, ""sport"": 3, ""direction"": 2, ""lamp_mount"": 2, ""lamp_type"": 2, ""support"": 2, ""office"": 2, ""name:kn"": 2, ""incline"": 2, ""phone"": 2, ""shelter_type"": 1, ""healthcare"": 1, ""clothes"": 1, ""atm"": 1, ""wheelchair"": 1, ""noexit"": 1, ""power"": 1, ""lanes"": 1, ""sidewalk"": 1, ""bus"": 1, ""fee"": 1, ""lit"": 1, ""supervised"": 1, ""indoor"": 1, ""ramp"": 1, ""place"": 1, ""max_age"": 1, ""min_age"": 1, ""website"": 1, ""water"": 1, ""opening_hours"": 1, ""addr:city"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""roof:levels"": 1, ""smoking"": 1, ""type"": 1}","{""highway"": 154, ""name"": 99, ""name:kn"": 52, ""surface"": 44, ""building"": 41, ""access"": 36, ""oneway"": 30, ""lanes"": 26, ""building:levels"": 19, ""barrier"": 16, ""sidewalk"": 14, ""amenity"": 13, ""official_name"": 13, ""smoothness"": 13, ""landuse"": 12, ""maxspeed"": 12, ""destination:colour"": 11, ""addr:housenumber"": 10, ""check_date"": 9, ""destination"": 8, ""source"": 7, ""roof:levels"": 7, ""leisure"": 6, ""addr:postcode"": 6, ""addr:street"": 6, ""ref"": 6, ""power"": 5, ""addr:city"": 5, ""sport"": 5, ""shop"": 4, ""direction"": 4, ""lamp_mount"": 4, ""lamp_type"": 4, ""support"": 4, ""cycleway"": 4, ""alt_name"": 4, ""footway"": 4, ""type"": 4, ""operator"": 3, ""natural"": 3, ""destination:backward"": 3, ""destination:forward"": 3, ""lane_markings"": 3, ""motor_vehicle"": 3, ""parking"": 3, ""residential"": 3, ""lit"": 3, ""crossing"": 2, ""crossing:markings"": 2, ""bus"": 2, ""network"": 2, ""public_transport"": 2, ""healthcare"": 2, ""opening_hours"": 2, ""water"": 2, ""area"": 2, ""designation"": 2, ""alt_name_1"": 2, ""int_ref"": 2, ""official_name:etymology:wikidata"": 2, ""ref:old"": 2, ""embankment"": 2, ""cables"": 2, ""voltage"": 2, ""man_made"": 2, ""bicycle"": 2, ""foot"": 2, ""width"": 2, ""roof:shape"": 2, ""bench"": 1, ""description"": 1, ""network:wikidata"": 1, ""shelter"": 1, ""noexit"": 1, ""crossing:island"": 1, ""name:en"": 1, ""door"": 1, ""shelter_type"": 1, ""atm"": 1, ""traffic_signals:direction"": 1, ""line_attachment"": 1, ""design"": 1, ""material"": 1, ""phone"": 1, ""office"": 1, ""smoking"": 1, ""horse"": 1, ""layer"": 1, ""ref_1"": 1, ""alt_name_2"": 1, ""covered"": 1, ""source:maxspeed"": 1, ""indoor"": 1, ""bridge"": 1, ""cutting"": 1, ""building:material"": 1}",#osmbengaluru,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
251,hakaka,https://www.openstreetmap.org/user/hakaka,18437944,5,2352,Finland,iD 2.27.3,1755,180,45,344,23,5,0,0,0,0,0,339.0,13.0,4.0,3.0,0.0,0.0,0.0,1.0,"{""building"": 339, ""highway"": 4, ""landuse"": 1}","{""addr:housenumber"": 13, ""addr:street"": 13, ""building"": 13, ""name"": 6, ""landuse"": 5, ""highway"": 3, ""addr:city"": 3, ""addr:postcode"": 3, ""name:fi"": 2, ""source"": 1, ""amenity"": 1, ""surface"": 1, ""tracktype"": 1, ""mtb:scale"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
252,christopherius,https://www.openstreetmap.org/user/christopherius,7106760,39,2346,Canada,iD 2.27.3,1888,66,13,358,20,0,0,1,0,21,5,350.0,8.0,2.0,12.0,0.0,0.0,1.0,2.0,"{""addr:city"": 369, ""addr:street"": 369, ""addr:housenumber"": 362, ""building"": 350, ""leisure"": 5, ""name"": 4, ""house"": 4, ""sport"": 3, ""brand"": 2, ""brand:wikidata"": 2, ""highway"": 2, ""amenity"": 1, ""atm"": 1, ""phone"": 1, ""shop"": 1, ""landuse"": 1, ""access"": 1, ""service"": 1}","{""name"": 16, ""highway"": 12, ""attribution"": 9, ""geobase:acquisitionTechnique"": 9, ""lanes"": 9, ""source"": 9, ""addr:city"": 8, ""addr:housenumber"": 8, ""addr:street"": 8, ""building"": 8, ""shop"": 4, ""amenity"": 2, ""cuisine"": 1, ""service"": 1, ""leisure"": 1, ""phone"": 1, ""website"": 1, ""admin_level"": 1, ""boundary"": 1, ""type"": 1, ""wikidata"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
253,Wauteurz,https://www.openstreetmap.org/user/Wauteurz,3881652,5,2340,Netherlands,iD 2.27.3,1487,120,385,242,64,37,0,2,3,14,3,0.0,10.0,29.0,16.0,30.0,16.0,5.0,0.0,"{""landuse"": 81, ""natural"": 45, ""barrier"": 38, ""waterway"": 30, ""highway"": 29, ""service"": 21, ""leisure"": 18, ""name"": 15, ""layer"": 13, ""tunnel"": 13, ""direction"": 8, ""traffic_calming"": 8, ""amenity"": 5, ""generator:method"": 2, ""generator:output:electricity"": 2, ""generator:source"": 2, ""generator:type"": 2, ""power"": 2, ""sport"": 2, ""water"": 2, ""intermittent"": 1, ""access"": 1}","{""source"": 25, ""name"": 22, ""landuse"": 17, ""highway"": 16, ""waterway"": 16, ""building"": 10, ""ref:bag"": 10, ""source:date"": 10, ""start_date"": 10, ""natural"": 5, ""tunnel"": 5, ""maxspeed"": 3, ""tracktype"": 3, ""layer"": 3, ""surface"": 2, ""colour"": 2, ""distance"": 2, ""network"": 2, ""operator"": 2, ""ref"": 2, ""roundtrip"": 2, ""route"": 2, ""symbol"": 2, ""type"": 2, ""website"": 2, ""wheelchair"": 2, ""expected_rcn_route_relations"": 1, ""name:rcn_ref"": 1, ""network:type"": 1, ""rcn_ref"": 1, ""direction"": 1, ""traffic_calming"": 1, ""bicycle"": 1, ""old_ref"": 1, ""service"": 1, ""3dshapes:note"": 1, ""lit"": 1, ""mofa"": 1, ""moped"": 1, ""oneway"": 1, ""segregated"": 1, ""smoothness"": 1, ""traffic_sign"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
254,LonMcGregor,https://www.openstreetmap.org/user/LonMcGregor,8556201,2,2334,U.K. of Great Britain and Northern Ireland,iD 2.27.3,1878,28,0,424,4,0,0,0,0,0,0,419.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,"{""building"": 419, ""house"": 29, ""landuse"": 2, ""highway"": 2, ""service"": 2, ""natural"": 1}","{""landuse"": 3, ""highway"": 1, ""name"": 1, ""source"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
255,Joseph R P,https://www.openstreetmap.org/user/Joseph%20R%20P,10944197,37,2330,United States of America,iD 2.27.3,1681,165,85,187,187,18,4,3,0,63,37,24.0,7.0,115.0,188.0,3.0,0.0,23.0,3.0,"{""highway"": 115, ""natural"": 56, ""footway"": 51, ""name"": 41, ""crossing"": 28, ""building"": 24, ""amenity"": 23, ""service"": 21, ""crossing:markings"": 20, ""brand"": 13, ""brand:wikidata"": 12, ""surface"": 12, ""shop"": 11, ""landuse"": 11, ""construction"": 10, ""oneway"": 10, ""cuisine"": 7, ""fixme"": 6, ""place"": 5, ""layer"": 5, ""healthcare"": 4, ""maxspeed"": 4, ""tiger:cfcc"": 4, ""tiger:county"": 4, ""tiger:name_base"": 4, ""tiger:name_type"": 4, ""tiger:zip_left"": 4, ""type"": 4, ""takeaway"": 3, ""tiger:name_direction_prefix"": 3, ""tiger:reviewed"": 3, ""tiger:zip_right"": 3, ""water"": 3, ""waterway"": 3, ""leaf_cycle"": 3, ""population"": 2, ""population:date"": 2, ""source:population"": 2, ""wikidata"": 2, ""wikipedia"": 2, ""beauty"": 2, ""operator"": 2, ""operator:wikidata"": 2, ""direction"": 2, ""bridge"": 2, ""lanes"": 2, ""intermittent"": 2, ""bicycle"": 2, ""cycleway"": 2, ""foot"": 2, ""leisure"": 1, ""office"": 1, ""healthcare:speciality"": 1, ""access"": 1, ""tiger:name_direction_suffix"": 1, ""self_service"": 1, ""parking"": 1}","{""highway"": 188, ""name"": 139, ""tiger:cfcc"": 99, ""tiger:county"": 99, ""tiger:name_base"": 98, ""tiger:name_type"": 95, ""tiger:reviewed"": 93, ""maxspeed"": 75, ""tiger:zip_left"": 69, ""tiger:zip_right"": 60, ""tiger:name_base_1"": 56, ""surface"": 49, ""lanes"": 39, ""oneway"": 38, ""tiger:name_direction_prefix"": 34, ""name_1"": 32, ""service"": 30, ""ref"": 27, ""place"": 17, ""tiger:zip_left_1"": 16, ""tiger:zip_right_1"": 16, ""ele"": 15, ""crossing"": 14, ""gnis:feature_id"": 14, ""bicycle"": 13, ""wikidata"": 11, ""bridge"": 11, ""wikipedia"": 10, ""layer"": 10, ""crossing:markings"": 8, ""population"": 8, ""population:date"": 8, ""source:population"": 8, ""sidewalk"": 8, ""foot"": 8, ""building"": 7, ""hgv"": 6, ""tiger:zip_left_2"": 5, ""tiger:name_base_2"": 5, ""alt_name"": 5, ""footway"": 4, ""traffic_signals"": 3, ""addr:postcode"": 3, ""note"": 3, ""amenity"": 3, ""brand"": 3, ""brand:wikidata"": 3, ""shop"": 3, ""cycleway"": 3, ""NHS"": 3, ""expressway"": 3, ""motorroad"": 3, ""natural"": 3, ""landuse"": 3, ""type"": 3, ""tiger:name_direction_suffix"": 2, ""name_2"": 2, ""tiger:name_type_1"": 2, ""unsigned_ref"": 2, ""access"": 2, ""overtaking"": 2, ""addr:housenumber"": 2, ""addr:street"": 2, ""placement"": 2, ""turn:lanes"": 2, ""addr:state"": 2, ""restriction"": 2, ""census:population"": 1, ""import_uuid"": 1, ""neighbourhood"": 1, ""website"": 1, ""cuisine"": 1, ""takeaway"": 1, ""short_name"": 1, ""barrier"": 1, ""maxspeed:type"": 1, ""tiger:name_direction_prefix_1"": 1, ""tiger:zip_right_2"": 1, ""lit"": 1, ""tiger:name_type_2"": 1, ""old_ref"": 1, ""lane_markings"": 1, ""destination:ref"": 1, ""covered"": 1, ""not:brand:wikidata"": 1, ""destination:lanes"": 1, ""destination:ref:lanes"": 1, ""tunnel"": 1, ""motor_vehicle"": 1, ""addr:city"": 1, ""addr:county"": 1, ""tourism"": 1, ""construction"": 1, ""fixme"": 1, ""gnis:county_name"": 1, ""gnis:import_uuid"": 1, ""gnis:reviewed"": 1, ""source"": 1, ""network"": 1, ""route"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
256,topius,https://www.openstreetmap.org/user/topius,2903947,9,2320,Papua New Guinea,"Rapid 2.1.1,iD 2.27.3",1516,342,250,123,72,15,1,1,0,0,4,3.0,4.0,119.0,69.0,0.0,0.0,0.0,0.0,"{""highway"": 119, ""surface"": 50, ""source"": 22, ""building"": 3, ""name"": 1, ""type"": 1}","{""highway"": 69, ""surface"": 29, ""source"": 13, ""name"": 11, ""lanes"": 6, ""maxspeed"": 6, ""oneway"": 6, ""building"": 4, ""height"": 3, ""layer"": 3, ""roof:colour"": 2, ""roof:height"": 2, ""roof:shape"": 2, ""alt_name"": 1, ""place"": 1, ""tourism"": 1, ""website"": 1, ""area"": 1, ""man_made"": 1, ""building:levels"": 1, ""building:part"": 1, ""min_height"": 1, ""restriction"": 1, ""type"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
257,vichada,https://www.openstreetmap.org/user/vichada,2246826,1,2318,Germany,JOSM/1.5 (18907 en),318,1673,173,59,85,10,0,0,0,0,0,59.0,81.0,0.0,4.0,0.0,0.0,0.0,0.0,"{""building"": 59}","{""building"": 81, ""addr:city"": 44, ""addr:country"": 44, ""addr:housenumber"": 44, ""addr:postcode"": 44, ""addr:street"": 44, ""addr:suburb"": 11, ""highway"": 4, ""name"": 4, ""maxspeed"": 3, ""ref"": 2, ""generator:method"": 2, ""generator:output:electricity"": 2, ""generator:source"": 2, ""generator:type"": 2, ""location"": 2, ""power"": 2, ""surface"": 1, ""tracktype"": 1, ""man_made"": 1, ""internet_access"": 1, ""internet_access:fee"": 1, ""tourism"": 1, ""website"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
258,sonchezz,https://www.openstreetmap.org/user/sonchezz,16794984,7,2304,Russian Federation,iD 2.27.3,1986,67,79,93,61,2,11,5,0,1,0,0.0,0.0,17.0,7.0,2.0,7.0,0.0,0.0,"{""natural"": 70, ""highway"": 17, ""water"": 15, ""wetland"": 15, ""type"": 11, ""landuse"": 7, ""name"": 2, ""waterway"": 2, ""ford"": 1, ""bridge"": 1, ""layer"": 1}","{""natural"": 31, ""name"": 12, ""water"": 10, ""wetland"": 8, ""waterway"": 7, ""highway"": 7, ""landuse"": 6, ""type"": 5, ""gvr:code"": 4, ""source"": 3, ""status"": 3, ""name:ba"": 2, ""name:en"": 2, ""wikidata"": 2, ""wikipedia"": 2, ""place"": 2, ""name:de"": 1, ""addr:country"": 1, ""addr:district"": 1, ""addr:postcode"": 1, ""addr:region"": 1, ""addr:subdistrict"": 1, ""name:ja"": 1, ""name:ru"": 1, ""name:tt"": 1, ""official_status"": 1, ""name:etymology:wikidata"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
259,red1947,https://www.openstreetmap.org/user/red1947,18317901,19,2290,India,Rapid 2.2.1,1718,144,50,318,56,4,0,0,0,26,1,109.0,6.0,157.0,31.0,36.0,4.0,15.0,0.0,"{""highway"": 157, ""building"": 109, ""source"": 102, ""waterway"": 36, ""name"": 32, ""layer"": 18, ""amenity"": 15, ""tunnel"": 12, ""brand"": 10, ""brand:wikidata"": 10, ""shop"": 8, ""office"": 7, ""bridge"": 6, ""landuse"": 4, ""leisure"": 4, ""building:levels"": 4, ""cuisine"": 3, ""official_name"": 3, ""footway"": 3, ""ford"": 2, ""takeaway"": 2, ""religion"": 2, ""height"": 1, ""width"": 1, ""microbrewery"": 1, ""short_name"": 1, ""alt_name"": 1, ""alt_name:en"": 1, ""alt_name:hi"": 1, ""alt_name:pa"": 1, ""alt_name:pnb"": 1, ""alt_name:ur"": 1, ""brand:en"": 1, ""brand:hi"": 1, ""brand:pa"": 1, ""brand:pnb"": 1, ""brand:ur"": 1, ""name:en"": 1, ""name:hi"": 1, ""name:pa"": 1, ""name:pnb"": 1, ""name:ur"": 1, ""healthcare"": 1, ""man_made"": 1, ""natural"": 1, ""barrier"": 1, ""aeroway"": 1, ""operator"": 1}","{""highway"": 31, ""name"": 20, ""landuse"": 9, ""building"": 6, ""source"": 5, ""natural"": 4, ""source:position"": 4, ""source:tracer"": 4, ""waterway"": 4, ""ref"": 3, ""building:levels"": 3, ""sidewalk"": 2, ""layer"": 2, ""pipeline"": 1, ""int_ref"": 1, ""lanes"": 1, ""oneway"": 1, ""ref:old"": 1, ""intermittent"": 1, ""location"": 1, ""man_made"": 1, ""tunnel"": 1, ""lock"": 1, ""construction"": 1, ""addr:city"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""smoking"": 1, ""residential"": 1, ""crop"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
260,DMcDowall,https://www.openstreetmap.org/user/DMcDowall,8815318,26,2277,Kenya,JOSM/1.5 (18907 en_GB),489,1438,172,77,67,34,0,0,0,0,0,77.0,64.0,0.0,3.0,0.0,0.0,0.0,0.0,"{""building"": 77}","{""building"": 64, ""highway"": 3, ""surface"": 1}",#hotosm-project-13532,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
261,InfosReseaux,https://www.openstreetmap.org/user/InfosReseaux,93222,2,2275,France,JOSM/1.5 (18907 fr),484,1346,295,49,78,23,0,0,0,269,1308,7.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,"{""power"": 293, ""operator"": 288, ""operator:wikidata"": 285, ""start_date"": 115, ""ref"": 77, ""line_attachment"": 69, ""barrier"": 13, ""voltage:primary"": 12, ""frequency"": 11, ""location"": 11, ""phases"": 11, ""cables"": 11, ""voltage"": 11, ""transformer"": 10, ""voltage:secondary"": 9, ""line_management"": 7, ""building"": 7, ""location:transition"": 5, ""line"": 4, ""access"": 4, ""highway"": 4, ""source"": 2, ""substation"": 1, ""layer"": 1, ""circuits"": 1, ""name"": 1}","{""power"": 1369, ""operator"": 1368, ""operator:wikidata"": 1340, ""source"": 141, ""ref"": 118, ""voltage"": 55, ""height"": 52, ""cables"": 44, ""line_management"": 23, ""circuits"": 16, ""location:transition"": 15, ""name"": 15, ""ref:FR:RTE"": 13, ""start_date"": 12, ""line_attachment"": 9, ""material"": 9, ""ref:FR:RTE_nom"": 8, ""highway"": 8, ""line"": 8, ""location"": 7, ""barrier"": 7, ""substation"": 7, ""access"": 7, ""landuse"": 6, ""frequency"": 5, ""phases"": 5, ""transformer"": 5, ""voltage:primary"": 5, ""voltage:secondary"": 5, ""building"": 3, ""wires"": 3, ""layer"": 3, ""source:date"": 2, ""lanes"": 1, ""utility"": 1, ""natural"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
262,GeoAndi,https://www.openstreetmap.org/user/GeoAndi,16771983,16,2274,Germany,iD 2.27.3,1451,412,91,142,141,8,14,15,0,24,8,8.0,7.0,50.0,94.0,2.0,3.0,1.0,4.0,"{""highway"": 50, ""landuse"": 44, ""surface"": 40, ""natural"": 36, ""lanes"": 31, ""oneway"": 17, ""leaf_cycle"": 16, ""leaf_type"": 16, ""ref"": 16, ""maxspeed"": 14, ""type"": 14, ""lanes:backward"": 12, ""lanes:forward"": 12, ""layer"": 11, ""restriction"": 11, ""cycleway:both"": 10, ""man_made"": 10, ""tracktype"": 10, ""barrier"": 9, ""building"": 8, ""turn:lanes:backward"": 6, ""shoulder"": 6, ""link"": 5, ""turn:lanes:forward"": 5, ""name"": 5, ""bicycle"": 4, ""traffic_calming"": 3, ""motorroad"": 3, ""direction"": 2, ""denotation"": 2, ""fixme"": 2, ""waterway"": 2, ""plant:method"": 2, ""plant:output:electricity"": 2, ""plant:source"": 2, ""power"": 2, ""foot"": 2, ""motor_vehicle"": 2, ""width"": 2, ""crossing"": 1, ""crossing:island"": 1, ""crossing:markings"": 1, ""kerb"": 1, ""tactile_paving"": 1, ""locked"": 1, ""amenity"": 1, ""construction"": 1, ""addr:city"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""club"": 1, ""maxheight"": 1, ""intermittent"": 1, ""water"": 1, ""tunnel"": 1, ""motorcar"": 1, ""motorcycle"": 1}","{""highway"": 94, ""surface"": 73, ""lanes"": 56, ""ref"": 53, ""maxspeed"": 29, ""name"": 26, ""lanes:backward"": 24, ""lanes:forward"": 24, ""landuse"": 23, ""oneway"": 22, ""motorroad"": 18, ""type"": 15, ""tracktype"": 11, ""turn:lanes:forward"": 10, ""width"": 10, ""cycleway:both"": 8, ""description"": 8, ""operator"": 8, ""natural"": 7, ""lit"": 7, ""maxspeed:backward"": 7, ""sidewalk"": 7, ""bicycle"": 7, ""building"": 7, ""network"": 7, ""route"": 7, ""link"": 6, ""turn:lanes:backward"": 6, ""foot"": 6, ""TMC:cid_58:tabcd_1:Class"": 5, ""TMC:cid_58:tabcd_1:Direction"": 5, ""TMC:cid_58:tabcd_1:LCLversion"": 5, ""TMC:cid_58:tabcd_1:LocationCode"": 5, ""TMC:cid_58:tabcd_1:NextLocationCode"": 5, ""TMC:cid_58:tabcd_1:PrevLocationCode"": 5, ""resource"": 5, ""wikidata"": 5, ""wikipedia"": 5, ""from"": 5, ""to"": 5, ""amenity"": 4, ""note"": 4, ""layer"": 3, ""source"": 3, ""waterway"": 3, ""motor_vehicle"": 3, ""leisure"": 3, ""maxheight"": 3, ""distance"": 3, ""osmc:status"": 3, ""osmc:symbol"": 3, ""symbol"": 3, ""restriction"": 3, ""direction"": 2, ""leaf_cycle"": 2, ""leaf_type"": 2, ""access"": 2, ""tunnel"": 2, ""sport"": 2, ""segregated"": 2, ""traffic_sign"": 2, ""addr:city"": 2, ""addr:housenumber"": 2, ""addr:postcode"": 2, ""addr:street"": 2, ""basin"": 2, ""water"": 2, ""barrier"": 2, ""website"": 2, ""wiki:symbol"": 2, ""state"": 2, ""crossing"": 1, ""crossing:island"": 1, ""crossing:markings"": 1, ""kerb"": 1, ""tactile_paving"": 1, ""denotation"": 1, ""maxweight"": 1, ""bridge"": 1, ""fee"": 1, ""parking"": 1, ""construction"": 1, ""old_ref"": 1, ""motorcar"": 1, ""motorcycle"": 1, ""cycleway:right"": 1, ""shoulder"": 1, ""contact:email"": 1, ""contact:phone"": 1, ""contact:website"": 1, ""junction"": 1, ""wikimedia_commons"": 1, ""smoothness"": 1, ""addr:country"": 1, ""destination"": 1, ""ref:fgkz"": 1, ""ascent"": 1, ""descent"": 1, ""pilgrimage"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
263,99_,https://www.openstreetmap.org/user/99_,17784165,4,2269,"Canada,Russian Federation",iD 2.27.3,1898,304,23,22,16,3,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""natural"": 22, ""place"": 19, ""source"": 7}","{""natural"": 19, ""source"": 19, ""name"": 3, ""ocean"": 3, ""ref:gnbc"": 3, ""type"": 3, ""place"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
264,Henk222,https://www.openstreetmap.org/user/Henk222,10855040,6,2267,Timor-Leste,iD 2.21.1,1196,755,143,132,32,9,0,0,0,0,3,113.0,25.0,1.0,4.0,2.0,1.0,0.0,0.0,"{""building"": 113, ""landuse"": 16, ""name"": 2, ""source"": 2, ""waterway"": 2, ""layer"": 1, ""tunnel"": 1, ""highway"": 1}","{""building"": 25, ""source"": 5, ""highway"": 4, ""place"": 3, ""name"": 2, ""fixme"": 2, ""landuse"": 2, ""_P_CODE_"": 1, ""waterway"": 1}","#hotosm-project-15404,#missingmaps,#Timor,#Avans2023211",2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
265,Cyrille37,https://www.openstreetmap.org/user/Cyrille37,454932,24,2262,France,"JOSM/1.5 (18907 fr),Organic Maps android 2023.12.18-11-FDroid",696,981,146,171,243,12,11,2,0,76,92,18.0,144.0,49.0,38.0,0.0,1.0,1.0,0.0,"{""landuse"": 71, ""addr:housenumber"": 59, ""highway"": 49, ""service"": 38, ""access"": 37, ""natural"": 34, ""name"": 24, ""building"": 18, ""place"": 12, ""type"": 11, ""source"": 9, ""crossing"": 4, ""crossing_ref"": 4, ""wall"": 4, ""man_made"": 4, ""roof:colour"": 3, ""roof:shape"": 3, ""CLC:code"": 2, ""CLC:id"": 2, ""CLC:year"": 2, ""barrier"": 2, ""emergency"": 1, ""fire_hydrant:position"": 1, ""fire_hydrant:type"": 1, ""ref:FR:FANTOIR"": 1, ""height"": 1, ""power"": 1, ""amenity"": 1, ""parking"": 1, ""crop"": 1}","{""source"": 173, ""building"": 144, ""roof:shape"": 96, ""roof:colour"": 87, ""addr:housenumber"": 77, ""landuse"": 48, ""name"": 41, ""highway"": 38, ""place"": 13, ""building:colour"": 12, ""building:levels"": 12, ""roof:levels"": 12, ""CLC:code"": 9, ""CLC:id"": 9, ""CLC:year"": 9, ""access"": 9, ""maxspeed"": 5, ""service"": 5, ""surface"": 5, ""leaf_cycle"": 4, ""natural"": 4, ""admin_level"": 3, ""boundary"": 3, ""wall"": 3, ""oneway"": 3, ""barrier"": 2, ""border_type"": 2, ""ref"": 2, ""tracktype"": 2, ""man_made"": 2, ""type"": 2, ""brand"": 1, ""brand:wikidata"": 1, ""brand:wikipedia"": 1, ""opening_hours"": 1, ""shop"": 1, ""wheelchair"": 1, ""bridge"": 1, ""layer"": 1, ""lanes"": 1, ""alt_name"": 1, ""ref:FR:FANTOIR"": 1, ""bicycle"": 1, ""foot"": 1, ""horse"": 1, ""lit"": 1, ""motor_vehicle"": 1, ""name:etymology:wikidata"": 1, ""segregated"": 1, ""width"": 1, ""intermittent"": 1, ""waterway"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
266,Yunan973,https://www.openstreetmap.org/user/Yunan973,19979346,5,2260,"French Guiana,Gabon","iD 2.27.3,Vespucci 18.1.5.0",1825,187,56,102,66,18,2,4,0,119,11,0.0,6.0,3.0,18.0,14.0,27.0,0.0,10.0,"{""natural"": 197, ""name"": 14, ""waterway"": 14, ""tunnel"": 7, ""wikidata"": 7, ""building:part"": 6, ""source"": 5, ""wetland"": 4, ""highway"": 3, ""water"": 2, ""type"": 2, ""place"": 1, ""destroyed:building"": 1, ""note"": 1, ""intermittent"": 1, ""layer"": 1}","{""name"": 31, ""waterway"": 27, ""wikidata"": 19, ""highway"": 18, ""source"": 17, ""surface"": 14, ""amenity"": 10, ""natural"": 10, ""tunnel"": 10, ""layer"": 8, ""water"": 6, ""building"": 6, ""addr:street"": 5, ""cuisine"": 5, ""phone"": 4, ""footway"": 4, ""type"": 4, ""capacity"": 3, ""outdoor_seating"": 3, ""website"": 3, ""name:etymology:wikidata"": 3, ""smoothness"": 3, ""building:levels"": 3, ""roof:shape"": 3, ""wheelchair"": 2, ""diet:vegetarian"": 2, ""opening_hours"": 2, ""ref:FR:SIRET"": 2, ""width"": 2, ""oneway"": 2, ""lanes"": 2, ""maxspeed"": 2, ""description"": 2, ""short_name"": 2, ""landuse"": 2, ""bicycle_parking"": 1, ""covered"": 1, ""crossing"": 1, ""crossing:island"": 1, ""crossing:markings"": 1, ""crossing_ref"": 1, ""tactile_paving"": 1, ""air_conditioning"": 1, ""indoor_seating"": 1, ""payment:credit_cards"": 1, ""payment:debit_cards"": 1, ""payment:mastercard"": 1, ""payment:visa"": 1, ""email"": 1, ""addr:housenumber"": 1, ""start_date"": 1, ""roof:levels"": 1, ""bicycle"": 1, ""parking"": 1, ""building:use"": 1, ""intermittent"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
